Year,Total Revenue (Millions),Net Income/Loss
1998,1.34,-11.08
1999,5.01,-29.95
2000,35.89,-58.27
2001,75.91,-39.18
2002,152.81,-20.95
2003,272.24,6.51
2004,500.61,21.38
2005,682.21,41.89
2006,996.66,48.84
2007,1205.34,66.61
2008,1364.66,83.03
2009,1670.27,115.86
2010,2162.63,160.85
2011,3204.58,226.13
2012,3609.28,17.15
2013,4374.56,112.4
2014,5504.66,266.8
2015,6779.51,122.64
2016,8830.67,186.68
2017,11692.71,558.93
2018,15794.34,1211.24
2019,20156.45,1866.92
2020,24996.06,2761.4
2021,,
2022,,
2023,,
2024,,